question_id,question,expected_disease,expected_intent
Q001,수두 예방접종 대상과 접종 확인 방법은?,수두,prevention
Q002,수두 감염을 피하기 위한 노출 예방수칙은?,수두,prevention
Q003,수두의 주요 증상과 조기 진료가 필요한 시점은?,수두,symptom_response
Q004,수두가 많이 발생하는 지역이나 계절은?,수두,risk_explanation
Q005,군 복무 중 수두가 의심되면 어디에 보고하고 진료받나요?,수두,military_care
Q006,말라리아 예방접종 대상과 접종 확인 방법은?,말라리아,prevention
Q007,말라리아 감염을 피하기 위한 노출 예방수칙은?,말라리아,prevention
Q008,말라리아의 주요 증상과 조기 진료가 필요한 시점은?,말라리아,symptom_response
Q009,말라리아가 많이 발생하는 지역이나 계절은?,말라리아,risk_explanation
Q010,군 복무 중 말라리아가 의심되면 어디에 보고하고 진료받나요?,말라리아,military_care
Q011,유행성이하선염 예방접종 대상과 접종 확인 방법은?,유행성이하선염,prevention
Q012,유행성이하선염 감염을 피하기 위한 노출 예방수칙은?,유행성이하선염,prevention
Q013,유행성이하선염의 주요 증상과 조기 진료가 필요한 시점은?,유행성이하선염,symptom_response
Q014,유행성이하선염가 많이 발생하는 지역이나 계절은?,유행성이하선염,risk_explanation
Q015,군 복무 중 유행성이하선염가 의심되면 어디에 보고하고 진료받나요?,유행성이하선염,military_care
Q016,백일해 예방접종 대상과 접종 확인 방법은?,백일해,prevention
Q017,백일해 감염을 피하기 위한 노출 예방수칙은?,백일해,prevention
Q018,백일해의 주요 증상과 조기 진료가 필요한 시점은?,백일해,symptom_response
Q019,백일해가 많이 발생하는 지역이나 계절은?,백일해,risk_explanation
Q020,군 복무 중 백일해가 의심되면 어디에 보고하고 진료받나요?,백일해,military_care
Q021,A형간염 예방접종 대상과 접종 확인 방법은?,A형간염,prevention
Q022,A형간염 감염을 피하기 위한 노출 예방수칙은?,A형간염,prevention
Q023,A형간염의 주요 증상과 조기 진료가 필요한 시점은?,A형간염,symptom_response
Q024,A형간염가 많이 발생하는 지역이나 계절은?,A형간염,risk_explanation
Q025,군 복무 중 A형간염가 의심되면 어디에 보고하고 진료받나요?,A형간염,military_care
Q026,일본뇌염 예방접종 대상과 접종 확인 방법은?,일본뇌염,prevention
Q027,일본뇌염 감염을 피하기 위한 노출 예방수칙은?,일본뇌염,prevention
Q028,일본뇌염의 주요 증상과 조기 진료가 필요한 시점은?,일본뇌염,symptom_response
Q029,일본뇌염가 많이 발생하는 지역이나 계절은?,일본뇌염,risk_explanation
Q030,군 복무 중 일본뇌염가 의심되면 어디에 보고하고 진료받나요?,일본뇌염,military_care
Q031,신증후군출혈열 예방접종 대상과 접종 확인 방법은?,신증후군출혈열,prevention
Q032,신증후군출혈열 감염을 피하기 위한 노출 예방수칙은?,신증후군출혈열,prevention
Q033,신증후군출혈열의 주요 증상과 조기 진료가 필요한 시점은?,신증후군출혈열,symptom_response
Q034,신증후군출혈열가 많이 발생하는 지역이나 계절은?,신증후군출혈열,risk_explanation
Q035,군 복무 중 신증후군출혈열가 의심되면 어디에 보고하고 진료받나요?,신증후군출혈열,military_care
Q036,쯔쯔가무시증 예방접종 대상과 접종 확인 방법은?,쯔쯔가무시증,prevention
Q037,쯔쯔가무시증 감염을 피하기 위한 노출 예방수칙은?,쯔쯔가무시증,prevention
Q038,쯔쯔가무시증의 주요 증상과 조기 진료가 필요한 시점은?,쯔쯔가무시증,symptom_response
Q039,쯔쯔가무시증가 많이 발생하는 지역이나 계절은?,쯔쯔가무시증,risk_explanation
Q040,군 복무 중 쯔쯔가무시증가 의심되면 어디에 보고하고 진료받나요?,쯔쯔가무시증,military_care
Q041,장병이 아프면 부대에서 가장 먼저 어디에 알려야 하나요?,,military_care
Q042,군병원 진료가 원칙인가요?,,military_care
Q043,민간병원 진료가 가능한 경우는 언제인가요?,,military_care
Q044,응급상황에서 민간의료기관을 이용할 수 있나요?,,military_care
Q045,외진과 환자후송 절차는 어떻게 다른가요?,,military_care
Q046,민간위탁진료 승인 절차를 알려주세요.,,military_care
Q047,진료 목적 청원휴가는 어떤 절차로 확인하나요?,,military_care
Q048,감염병 환자를 발견하면 군에서 어떤 신고를 하나요?,,military_care
Q049,공무상요양비 신청 시 어떤 서류를 확인해야 하나요?,,state_support
Q050,군 의료기관과 민간 의료기관의 역할은 무엇인가요?,,military_care
Q051,건강보험 급여와 비급여는 어떻게 다른가요?,,nhis
Q052,병원에서 낸 본인부담금이 맞는지 확인하려면?,,nhis
Q053,진료비 확인 제도는 어디에 신청하나요?,,nhis
Q054,요양급여비용과 본인부담금의 의미는?,,nhis
Q055,민간병원 검사 비용이 건강보험 대상인지 어떻게 확인하나요?,,nhis
Q056,나라사랑카드 보험이 감염병 진료비를 보장하나요?,,card_insurance
Q057,KB 나라사랑카드 보험금을 받을 수 있나요?,,card_insurance
Q058,과거 나라사랑카드 약관을 현재 보장으로 봐도 되나요?,,card_insurance
Q059,카드보험 상품명과 적용기간을 어디서 확인하나요?,,card_insurance
Q060,질병명만으로 나라사랑카드 보험 지급을 판단할 수 있나요?,,card_insurance
