disease,dimension,value,rationale,source_file,source_path,anchor,evidence_quote,evidence_method,authority_level,effective_status,retrieved_at
수두,vaccination,1,공식 예방접종 기준 또는 접종대상 확인 행동이 존재함,수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_예방접종도우미 _ 예방접종 정보 _ 예방접종 알아보기.md,접종 대상,매우 강한 급성 감염질환입니다. 급성의 미열로 시작되고 전신적으로 가렵고 발진성 수포가 발생하는 질환입니다. ### 예방접종 실시 기준 및 방법 #### 접종 대상 : 생후 12개월 이상의 모든 소아청소년 #### 접종 일정 및 방법 - 접종 시기 - 생후 12-15개월에 1회 권장 - 13세 미만 : 1회 - 13세 이상 : 4-8주 간격으로 2회 - 접종 용량 : 0.5mL - 접종 부위 및 방법 : 상완 외측면에 피하주사 #### 금기 사항 - 백신 성분,anchor_match,A,current,2026-07-02
수두,region_season,0,공식 문서에 예방·대응 근거는 있으나 지역·월 입력과 직접 연결할 특정 위험지역·유행월 행동 기준은 채택하지 않음,수두_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_질병관리청_국가건강정보포털.md,연중 발생,"‘제2급 법정감염병’으로 분류됩니다. 이에 따라 의료기관에서는 수두를 진단할 경우 24시간 이내에 보건소에 신고해야 하는 법적 의무가 있습니다. 수두는 연중 발생할 수 있지만, 특히 4~7월과 11~1월에 유행이 집중되는 경향이 있으며, 대부분 어린이에서 발생합니다. 2024년 질병관리청 자료에 따르면 신고된 수두 환자의 약 79.4%가 15세 미만 어린이였습니다. **2\. 대상포진** 대상포진의 평생 누적 발생률은 약 10~30% 정도입니다. 이 질환은",documented_rule_no_specific_trigger,A,current,2026-07-02
수두,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,수두_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_질병관리청_국가건강정보포털.md,예방,"포가 나타나고, 면역이 약한 경우 전신으로 퍼지거나 심각한 합병증을 일으킬 수 있습니다. • 수두와 대상포진 모두 항바이러스제를 통해 증상 완화와 합병증 예방이 가능하며, 특히 발진 초기에 치료하는 것이 효과적입니다. • 예방을 위해 수두 백신과 대상포진 사백신이 권장되며, 생활습관 관리와 위생, 면역력 유지가 전염과 합병증 예방에 중요합니다. ### 개요-정의 수두와 대상포진은 모두 같은 바이러스인 수두 대상포진 바이러스(Varicella-zoster vir",anchor_match,A,current,2026-07-02
수두,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,수두_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\수두_질병관리청_국가건강정보포털.md,치료,"신으로 퍼지거나 심각한 합병증을 일으킬 수 있습니다. • 수두와 대상포진 모두 항바이러스제를 통해 증상 완화와 합병증 예방이 가능하며, 특히 발진 초기에 치료하는 것이 효과적입니다. • 예방을 위해 수두 백신과 대상포진 사백신이 권장되며, 생활습관 관리와 위생, 면역력 유지가 전염과 합병증 예방에 중요합니다. ### 개요-정의 수두와 대상포진은 모두 같은 바이러스인 수두 대상포진 바이러스(Varicella-zoster virus, VZV)에 의해 생기는 질병입",anchor_match,A,current,2026-07-02
수두,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
말라리아,vaccination,0,현재 국내 공식 안내에서 일반 사용자가 확인할 예방접종 행동축을 채택하지 않음,말라리아_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\말라리아_질병관리청_국가건강정보포털.md,백신,가와 출국 전에 상의합니다. • 모든 말라리아 예방의 기본은 모기에 물리지 않는 것이므로 이에 대한 예방법을 전문가와 상의합니다. • 말라리아를 예방하는 백신은 없습니다. 그러므로 적절한 예방약을 복용해야 합니다. 예방약은 여러 가지가 있고 지역에 따라 혹은 복용하는 사람의 특성에 따라 달리 선택해야 하므로 전문가와 상의 후 구입합니다. • 예방약을 복용하는 경우에는 복용의 금기사항이나 부작용을 숙지해야 합니다. • 여행 중 말라리아에 걸렸을 때에 대비하여 현,anchor_match,A,current,2026-07-02
말라리아,region_season,1,공식 위험지역·주의보·계절 노출 정보가 지역·월 입력과 직접 연결됨,2026년도 말라리아 관리지침(수정).pdf,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\2026년도 말라리아 관리지침(수정).pdf,위험지역,"절차 현행화 Ⅰ 총론 5. 환자관리 1) 점검 방법 ※ 복약관리수첩 필요시 질병관리청 인수공통감염병 관리과로 요청 1) 점검 방법 (삭제) 복약관리수첩은 위험지역 교부 예산으로 배포 2) 복약 • 클로로퀸 3일+프리마퀸 14일 - 프리마퀸은 클로로퀸과 동시에 투여를 시작하거나, 클로로퀸 치료 후 이어서 투여 가능 2) 복약 기존 국내발생 말라리아 치료제 외에 해외유입 말라리아 복용약과 일수 추가 Ⅰ 총론 6. 매개체 (환경) 관리 말라리아 매개모기 주요 활동",anchor_match,A,current,2026-07-02
말라리아,exposure_prevention,1,노출 회피·위생·매개체 차단 등 구체적인 예방행동이 제시됨,말라리아_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\말라리아_질병관리청_국가건강정보포털.md,모기,"**'이것만은 꼭 기억하세요'** • 말라리아는 열원충(Plasmodium)이라는 기생충이 사람의 적혈구에 침입해 생기는 감염병이며, 감염된 암컷 얼룩날개모기에 물리면서 전파됩니다. • 사람에게 감염을 일으키는 열원충은 삼일열(P. vivax), 열대열(P. falciparum), 사일열(P. malariae), 난형열(P. ovale), 원숭이열(P. knowlesi) 등 다섯 종류입니다. • 우리나라에서 흔한 삼일열 말라리아는 비교적 경한 경과를 보이지만,",anchor_match,A,current,2026-07-02
말라리아,early_response,1,증상 인지 후 보고·진료·조기치료 행동이 제시됨,말라리아_질병관리청_국가건강정보포털.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\말라리아_질병관리청_국가건강정보포털.md,신속,"라리아가 의심되는 환자의 혈액에서 핵산을 추출하여 말라리아 열원충의 특정 유전자를 증폭하여 검출하는 방법으로 열원충의 종류 구분이 가능합니다. **3\. 신속항원검출검사(추정진단)** 신속항원검출검사는 다양한 제품이 상품화되어 있습니다. 현미경과 같은 특별한 장비가 필요하지 않으며 의료시설이 열악한 환경에서도 신속항원진단키트만 있으면 쉽고 빠르게 진단할 수 있습니다. ### 치료 치료 및 예방 약제는 환자의 상태, 말라리아에 감염된 지역의 약제 내성, 약물의",anchor_match,A,current,2026-07-02
말라리아,navigation,1,군 장병의 진료·후송·민간의료 확인 경로가 현행 국방 훈령에 규정됨,0702\행정규칙 _ 국방 환자관리 훈령.md,C:\Users\user\Documents\AI 활용 경진대회\RAG_document\0702\행정규칙 _ 국방 환자관리 훈령.md,제6조,군 참모총장(의무실장)이나 국군의무사령관이 군보건의료기관의 진료능력이 허용하는 한도 내에서 인정하는 경우 진료 지원할 수 있다. 제2장 외래 및 입원진료 제6조(외래 및 입원환자 진료) ① 소속 부대(기관)의 장은 진료가 필요한 장병이 지체 없이 군보건의료기관 또는 민간의료기관에서 진료를 받을 수 있도록 적절한 조치를 취해야 한다. ② [제5조](#AJAX)에 명시된 사람이 군보건의료기관을 이용하는 경우는 가장 가까운 군보건의료기관 또는 상급 군보건의료기관에서,anchor_match,A,current,2026-07-02
